id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q500282,President of Nigeria,Q1033,Q1033,Q2625960,,1963-10-01,,,,President of Nigeria
Q2625960,Vice President of Nigeria,Q1033,Q1033,,,1966-01-16,,,,Vice President of Nigeria
Q109661491,Minister of Agriculture and Rural Development,Q1033,Q1033,,,,,,,
Q108037332,Minister of Aviation,Q1033,Q1033,,,,,,,
Q54600190,Minister of Aviation of Nigeria,Q1033,Q1033,,,,,,,
Q108036022,Minister of Budget and National Planning,Q1033,Q1033,,,,,,,
Q54601276,Communications minister of Nigeria,Q1033,Q1033,,,,,,,
Q5251230,Minister of Defence of Nigeria,Q1033,Q1033,,,,,,,Defence Minister of Nigeria
Q75153172,Education Minister of Nigeria,Q1033,Q1033,,,,,,,
Q109661479,Minister of the Environment,Q1033,Q1033,,,,,,,
Q59514359,Minister of the Federal Capital Territory,Q1033,Q509300,,,,,,,
Q5449550,Finance Minister of Nigeria,Q1033,Q1033,,,,,,,Finance Minister of Nigeria
Q3354633,Minister of Foreign Affairs,Q1033,Q1033,,,,,,,Minister of Foreign Affairs (Nigeria)
Q75157896,Minister of Health,Q1033,Q1033,,,,,,,
Q109661410,"Minister of Humanitarian Affairs, Disaster Management and Social Development",Q1033,Q1033,,,,,,,
Q109661459,"Minister of Industry, Trade and Investment",Q1033,Q1033,,,,,,,
Q108037314,Minister of Information and Culture,Q1033,Q1033,,,,,,,
Q108035710,Minister of Interior,Q1033,Q1033,,,,,,,
Q108035668,Minister of Justice,Q1033,Q1033,,,,,,,
Q106406342,Nigerian Minister of Labour,Q1033,Q1033,,,,,,,
Q108035716,Minister of Mines and Steel Development,Q1033,Q1033,,,,,,,
Q108037311,Minister of Niger Delta,Q1033,Q1033,,,,,,,
Q109661675,Minister of Police Affairs,Q1033,Q1033,,,,,,,
Q108036501,Minister of Power,Q1033,Q1033,,,,,,,
Q108035729,Minister of Science and Technology,Q1033,Q1033,,,,,,,
Q109661921,Minister of Special Duties and Inter-Governmental Affairs,Q1033,Q1033,,,,,,,
Q108036175,Minister of Transportation,Q1033,Q1033,,,,,,,
Q108037321,Minister of Water Resources,Q1033,Q1033,,,,,,,
Q108037288,Minister of Women Affairs and Social Development,Q1033,Q1033,,,,,,,
Q108036024,Minister of Works and Housing,Q1033,Q1033,,,,,,,
Q108037328,Minister of Youth and Sports,Q1033,Q1033,,,,,,,
Q108037339,Minister of State Environment,Q1033,Q1033,,,,,,,
Q108067484,Minister of State for Budget and National Planning,Q1033,Q1033,,,,,,,
Q109661385,Minister of State for Foreign Affairs of Nigeria,Q1033,Q1033,,,,,,,
Q108037343,"Minister of State, Mines and Steel Development",Q1033,Q1033,,,,,,,
Q108035665,Attorney General of the Federation,Q1033,Q1033,,,,,,,
Q3511642,Chief Justice of Nigeria,Q1033,Q1033,,,,,,,Chief Justice of Nigeria
Q4376676,President of the Senate of Nigeria,Q1033,Q1033,,,,,,,President of the Senate of Nigeria
Q7574275,Speaker of the House of Representatives of Nigeria,,,,,,,,,Speaker of the House of Representatives of Nigeria
Q25351737,Chief of Army Staff,,,,,,,,,Chief of Army Staff (Nigeria)
Q109662154,Governor of the Central Bank of Nigeria,Q1033,,,,,,,,
