item,itemLabel,startDate,endDate
,Roy Pentelow Fenton,1958-07-24,1963-07-24
Q4727552,Aliyu Mai-Bornu,1963-07-25,1967-06-22
Q5131343,Clement Nyong Isong,1967-08-15,1975-09-22
Q3914988,Adamu Ciroma,1975-09-24,1977-06-28
Q7082908,Ola Vincent,1977-06-28,1982-06-28
Q4665851,Abdulkadir Ahmed,1982-06-28,1993-09-30
Q7149013,Paul Agbai Ogwuma,1993-10-01,1999-05-29
Q6285929,Joseph Oladele Sanusi,1999-05-29,2004-05-29
Q3511696,Charles Chukwuma Soludo,2004-05-29,2009-05-29
Q3791488,Sanusi Lamido Aminu Sanusi,2009-06-03,2014-02-20
Q16145904,Sarah Alade,2014-02-20,2014-06-03
Q16728824,Godwin Emefiele,2014-06-03,
