wdid,name,start,end,position
Q361567,Muhammadu Buhari,2019-05-29,,President
Q19730927,Yemi Osinbajo,2019-05-29,,Vice President
Q21002307,Abba Kyari,2019-06-05,2020-04-17,Chief of Staff to the President
Q953167,Ibrahim Gambari,2020-05-13,,Chief of Staff to the President
Q47363740,Boss Mustapha,2019-06-05,,Secretary to the Government of the Federation
Q108041810,Sabo Nanono,2019-08-21,2021-09-01,Minister of Agriculture and Rural Development
,Mohammad Mahmood Abubakar,2021-09-01,,Minister of Agriculture and Rural Development
Q99162710,Mustapha Baba Shehuri,2019-08-21,,Minister of State for Agriculture and Rural Development
Q7530281,Hadi Sirika,2019-08-21,,Minister of Aviation
Q42916213,Isa Ali Pantami,2019-08-21,,Minister of Communications and Digital Economy
Q4866857,Bashir Salihi Magashi,2019-08-21,,Minister of Defence
Q41559149,Adamu Adamu,2019-08-21,,Minister of Education
Q66901800,Chukwuemeka Nwajiuba,2019-08-21,,Minister of State for Education
,Mohammad Mahmood Abubakar,2019-08-21,2021-09-10,Minister of Environment
Q101245550,Mohammed Hassan Abdullahi,2022-04-06,,Minister of Environment
Q66309734,Sharon Ikeazor,2019-08-21,,Minister of State for Environment
Q59829052,Mohammed Musa Bello,2019-08-21,,Minister of the Federal Capital Territory
Q65938686,Ramatu Tijani Aliyu,2019-08-21,,Minister of State for the Federal Capital Territory
Q42559242,Zainab Ahmed,2019-08-21,,"Minister of Finance, Budget and National Planning"
,Clement Agba,2019-08-21,,Minister of State for Budget and National Planning
Q21467394,Geoffrey Onyeama,2019-08-21,,Minister of Foreign Affairs
Q101693651,Zubairu Dada,2019-08-21,,Minister of State for Foreign Affairs
Q62670421,Osagie Ehanire,2019-08-21,,Minister of Health
Q4681916,Adeleke Mamora,2019-08-21,,Minister of State for Health
Q20195461,Sadiya Umar Farouq,2019-08-21,,"Minister of Humanitarian Affairs, Disaster Management and Social Development"
Q13140763,Niyi Adebayo,2019-08-21,,"Minister of Industry, Trade and Investment"
Q73590469,Mariam Yalwaji Katagum,2019-08-21,,"Minister of State for Industry, Trade and Investment"
Q19561129,Lai Mohammed,2019-08-21,,Minister of Information and Culture
Q7296120,Rauf Aregbesola,2019-08-21,,Minister of the Interior
Q23714146,Abubakar Malami,2019-08-21,,Minister of Justice and Attorney General of the Federation
Q3510794,Chris Ngige,2019-08-21,,Minister of Labour and Employment
Q107491747,Tayo Alasoadura,2019-08-21,2019-09-24,Minister of State for Labour and Employment
Q19667657,Festus Keyamo,2019-09-24,,Minister of State for Labour and Employment
Q75184824,Olamilekan Adegbite,2019-08-21,,Minister of Mines and Steel Development
Q18355928,Uchechukwu Sampson Ogah,2019-08-21,,Minister of State for Mines and Steel Development
Q5576947,Godswill Akpabio,2019-08-21,,Minister of Niger Delta Affairs
Q19667657,Festus Keyamo,2019-08-21,2019-09-24,Minister of State for Niger Delta Affairs
Q107491747,Tayo Alasoadura,2019-09-24,,Minister of State for Niger Delta Affairs
Q361567,Muhammadu Buhari,2019-08-21,,Minister of Petroleum Resources
Q3509607,Timipre Sylva,2019-08-21,,Minister of State for Petroleum Resources
Q108704107,Mohammed Maigari Dingyadi,2019-08-21,,Minister of Police Affairs
Q87966273,Saleh Mamman,2019-08-21,2021-09-01,Minister of Power
,Abubakar Aliyu,2021-09-01,,Minister of Power
Q66039284,Goddy Jedy Agba,2019-08-21,,Minister of State for Power
Q13655513,Ogbonnaya Onu,2019-08-21,,"Minister of Science, Technology and Innovation"
Q101245550,Mohammed Hassan Abdullahi,2019-08-21,2022-04-06,"Minister of State for Science, Technology and Innovation"
Q3510803,George Akume,2019-08-21,,Minister of Special Duties and Inter-governmental Affairs
Q7370548,Rotimi Amaechi,2019-08-21,,Minister of Transportation
Q5529326,Gbemisola Ruqayyah Saraki,2019-08-21,,Minister of State for Transportation
Q66309786,Suleiman Adamu Kazaure,2019-08-21,,Minister of Water Resources
Q27830470,Pauline Tallen,2019-08-21,,Minister of Women Affairs and Social Development
Q62356,Babatunde Fashola,2019-08-21,,Minister of Works and Housing
,Abubakar Aliyu,2019-08-21,2021-09-01,Minister of State for Works and Housing
,Mu'azu Sambo,2021-12-24,,Minister of State for Works and Housing
Q65953957,Sunday Dare,2019-08-21,,Minister of Youth and Sports Development
