item,itemLabel,startDate,endDate
Q528855,Taslim Elias,1960,1966
,G.I.M Onyiuke,1966-03-01,1966-07-29
Q105045534,Nabo Graham-Douglas,1966,1972
Q19885395,Dan Onuorah Ibekwe,1972,1975
Q23540907,Augustine Nnamani,1975,1979
Q7323651,Richard Akinjide,1979,1983
Q20128744,Kehinde Sofola,1983-10,1983-12
Q108744472,Chike Ofodile,1984,1985-08
Q891244,Bola Ajibola,1985-09-12,1991-12-04
Q96628300,Clement Akpamgbo,1991,1993
,Olu Onagoruwa,1993,1994
Q16014004,Michael Ashikodi Agbamuche,1994,1997
Q1088901,Abdullahi Ibrahim,1997,1999-05
Q16150077,Kanu Godwin Agabi,1999-06,2000-01
Q3511524,Bola Ige,2000-01-03,2001-12-23
Q16150077,Kanu Godwin Agabi,2002,2003
,Akin Olujimi,2003-07,2005-07
Q4874679,Bayo Ojo,2005-07,2007-07
Q6828240,Michael Aondoakaa,2007-07-26,2010-02-10
Q4682392,Adetokunbo Kayode,2010-02-10,2010-03-17
Q6893019,Mohammed Bello Adoke,2010-04-06,2011-05-29
Q6893019,Mohammed Bello Adoke,2011-07-02,2015-05
Q23714146,Abubakar Malami,2015-11-11,
