@@,name,party,constituency
->,Abba Patrick Moro,NULL->PDP,Benue North-East->Benue South
->,Abdullahi Adamu,NULL->APC,NULL->Nasarawa West
->,Abdullahi Gobir,NULL->APC,NULL->Sokoto East
->,Abubakar Kyari,NULL->APC,NULL->Borno North
->,Adamu Bulkachuwa,NULL->APC,NULL->Bauchi North
->,Adelere Adeyemi Oriolowo,NULL->APC,NULL->Osun West
->,Ademola Kola Balogun,NULL->PDP,NULL->Oyo South
->,Adetokunbo Abiru Mukhail,NULL->APC,NULL->Lagos-East
->,Aduda Philip Tanimu,NULL->PDP,FCT Senatorial District->FCT
---,Agom Jarigbe,,
->,Ahmad Babba-kaita,NULL->APC,NULL->Katsina North
->,Ahmad Ibrahim Lawan,NULL->APC,NULL->Yobe North
->,Aishatu Dahiru Ahmed,NULL->APC,NULL->Adamawa Central
->,Akon Etim Eyakenyi,NULL->PDP,NULL->Akwa Ibom South
->,Aliyu Magatakarda Wamakko,NULL->APC,NULL->Sokoto North
->,Aliyu Sabi Abdullahi,NULL->APC,NULL->Niger North
->,Amos Bulus Kilawangs,NULL->APC,NULL->Gombe South
->,Ashiru Oyelola Yisa,NULL->APC,NULL->Kwara South
->,Ayo Patrick Akinyelure,NULL->PDP,NULL->Ondo Central
->,Bala Ibn Na'allah,NULL->APC,NULL->Kebbi South
->,Barinada Barry Mpigi,NULL->PDP,NULL->Rivers South East
->,Bassey Albert Akpan,NULL->PDP,NULL->Akwa Ibom North-East
->,Bello Mandiya,NULL->APC,NULL->Katsina South
->,Betty Apiafi,NULL->PDP,NULL->Rivers West
->,Binos Dauda Yaroe,NULL->PDP,NULL->Adamawa South
->,Biobarakuma W Degi-eremienyo,NULL->APC,NULL->Bayelsa East
->,Biodun Christine Olujimi,NULL->PDP,NULL->Ekiti South
->,Buhari Abdulfatai Omotayo,NULL->APC,NULL->Oyo North
->,Chimaroke Ogbonnia Nnamani,NULL->PDP,NULL->Enugu East
->,Christopher Stephen Ekpenyong,NULL->PDP,NULL->Akwa Ibom North-West
->,Chukwuka Utazi,NULL->PDP,NULL->Enugu North
->,Chukwuma Frank Ibezim,NULL->APC,NULL->Imo North
->,Cleopas Zuwoghe Moses,NULL->PDP,NULL->Bayelsa Central
->,Clifford Akhimienmona Ordia,NULL->PDP,NULL->Edo Central
->,Danjuma Goje Mohammed,NULL->APC,NULL->Gombe Central
->,Danjuma Tella La'ah,NULL->PDP,NULL->Kaduna South
->,Danladi Abdullahi Sankara,NULL->APC,NULL->North West
---,Dino Melaiye,,
->,Ekwunife Lilian Uche,NULL->PDP,NULL->Anambra Central
->,Emmanuel Bwacha,NULL->PDP,NULL->Taraba South
->,Emmanuel Yisa Orker-jev,NULL->PDP,NULL->Benue North West
->,Enyinnaya Harcourt Abaribe,NULL->PDP,NULL->Abia-South
+++,Executive Bill,PDP,Abuja Municipal /Bwari
->,Ezenwa Francis Onyewuchi,NULL->PDP,NULL->Imo East
->,Francis Adenigba Fadahunsi,NULL->PDP,NULL->Osun East
->,Francis Asekhame Alimikhena,NULL->APC,NULL->Edo North
---,Gabriel Suswam,,
->,George Thompson Sekibo,NULL->PDP,NULL->Rivers East
->,Gershom Henry Bassey,NULL->PDP,NULL->Cross River South
->,Godiya Akwashiki,NULL->APC,NULL->Nasarawa North
->,Halliru Dauda Jika,NULL->APC,NULL->Bauchi Central
->,Hassan Mohammed Gusau,NULL->PDP,NULL->Zamfara Central
->,Hezekiah Ayuba Dimka,NULL->APC,NULL->Plateau Central
->,Ibikunle Oyelaja Amosun,NULL->APC,NULL->Ogun Central
---,Ibrahim Abdullahi Danbaba,,Sokoto South
->,Ibrahim Barau Jibrin,NULL->APC,NULL->Kano-North
->,Ibrahim Gaidam,NULL->APC,NULL->Yobe East
->,Ibrahim Hadejia,NULL->APC,NULL->North East
->,Ibrahim Mohammed Bomai,NULL->APC,NULL->Yobe South
->,Ibrahim Shekarau,NULL->APC,NULL->Kano-Central
->,Ibrahim Yahaya Oloriegbe,NULL->APC,NULL->Kwara Central
->,Ifeanyi Patrick Ubah,NULL->YPP,NULL->Anambra South
->,Ike Ekweremadu,NULL->PDP,NULL->Enugu West
->,Ishaku Elisha cliff Abbo,NULL->PDP,NULL->Adamawa North
->,Istifanus Dung Gyang,NULL->PDP,NULL->Plateau North
->,James Ebiowou Manager,NULL->PDP,NULL->Delta South
->,Jibrin Isah,NULL->APC,NULL->Kogi East
->,Joseph Obinna Ogba,NULL->PDP,NULL->Ebonyi Central
->,Kabir Abdullahi Barkiya,NULL->APC,NULL->Katsina Central
->,Kabiru Ibrahim Gaya,NULL->APC,NULL->Kano-South
->,Kashim Shettima,NULL->APC,NULL->Borno Central
->,Lawal Yahaya Gumau,NULL->APC,NULL->Bauchi South
---,Lawali Hassan Anka,,
->,Matthew Aisagbonriodion Urhoghide,NULL->PDP,NULL->Edo South
->,Michael Ama Nnachi,NULL->PDP,NULL->Ebonyi South
->,Michael Opeyemi Bamidele,NULL->APC,NULL->Ekiti Central
->,Mohammad Adamu Mainasara aliero,NULL->APC,NULL->Kebbi Central
->,Mohammed Ali Ndume,NULL->APC,NULL->Borno South
->,Mohammed Sani Musa,NULL->APC,Niger East
->,Muhammad Enagi Bima,NULL->APC,NULL->Niger South
->,Nicholas Olubukola Tofowomo,NULL->PDP,NULL->Ondo South
->,Nora Ladi Dadunt,NULL->APC,NULL->Plateau South
->,Olubunmi Ayodeji Adetunmbi,NULL->APC,NULL->Ekiti North
->,Oluremi Shade Tinubu,NULL->APC,NULL->Lagos-Central
->,Orji Uzor Kalu,NULL->APC,NULL->Abia-North
->,Oseni Yakubu,NULL->APC,NULL->Kogi Central
->,Ovie Augustine Omo-agege,NULL->APC,Delta Central
->,Peter Onyeluka Nwaoboshi,NULL->PDP,NULL->Delta North
->,Ramoni Olalekan Mustapha,NULL->APC,NULL->Ogun East
->,Robert Ajayi Boroffice,NULL->APC,NULL->Ondo North
->,Rochas Okorocha,NULL->APC,NULL->Imo West
->,Sabo Mohammed,NULL->APC,NULL->South West
->,Sadiq Suleiman Umar,NULL->APC,NULL->Kwara North
---,Sahabi Alhaji Yaú,,
->,Saidu Ahmed Alkali,NULL->APC,NULL->Gombe North
->,Samuel Ominyi Egwu,NULL->PDP,NULL->Ebonyi North
->,Sandy Ojang Onor,NULL->PDP,NULL->Cross River Central
->,Seriake Henry Dickson,NULL->PDP,NULL->Bayelsa West
->,Shuaibu Isa Lau,NULL->PDP,NULL->Taraba North
+++,Sikiru Adebayo Osinowo,APC,Lagos-East
---,Smart Adeyemi,,
->,Solomon Olamilekan Adeola,NULL->APC,NULL->Lagos-West
+++,Stephen Adi Odey,PDP,Cross River North
->,Suleiman Abdu Kwari,NULL->APC,NULL->Kaduna North
->,Surajudeen Ajibola Basiru,NULL->APC,NULL->Osun Central
->,Teslim Kolawale Folarin,NULL->APC,NULL->Oyo Central
